	Description	KEGG Ontology
6666666.754255.peg.3075	FIG00746147: hypothetical protein	
6666666.754255.peg.3076	hypothetical protein	
6666666.754255.peg.3077	Putative oxidoreductase	
6666666.754255.peg.3078	acetyltransferase (putative)	
6666666.754255.peg.3079	Transport protein	
6666666.754255.peg.3080	FIG00742944: hypothetical protein	
6666666.754255.peg.3081	FIG00748608: hypothetical protein	
6666666.754255.peg.3082	Choloylglycine hydrolase (EC 3.5.1.24)	KEGG_ENZYME:3.5.1.24
6666666.754255.peg.3083	Lead%2C cadmium%2C zinc and mercury transporting ATPase (EC 3.6.3.3) (EC 3.6.3.5)%3B Copper-translocating P-type ATPase (EC 3.6.3.4)	KEGG_ENZYME:3.6.3.3,KEGG_ENZYME:3.6.3.5,KEGG_ENZYME:3.6.3.4
6666666.754255.peg.3084	Negative transcriptional regulator-copper transport operon	
6666666.754255.peg.3085	FIG00742662: hypothetical protein	
6666666.754255.peg.3086	FIG00748315: hypothetical protein	
6666666.754255.peg.3087	Uncharacterized MFS-type transporter	
6666666.754255.peg.3088	hypothetical protein	
6666666.754255.peg.3089	FIG00744797: hypothetical protein	
6666666.754255.peg.3090	FIG00751229: hypothetical protein	
6666666.754255.peg.3091	Cytosine/purine/uracil/thiamine/allantoin permease family protein	
6666666.754255.peg.3092	Uncharacterized MFS-type transporter	
6666666.754255.peg.3093	Hydrolase%2C alpha/beta fold family	
6666666.754255.peg.3094	FIG00751277: hypothetical protein	
6666666.754255.peg.3095	Nucleoside deoxyribosyltransferase (EC 2.4.2.6)	KEGG_ENZYME:2.4.2.6
6666666.754255.peg.3096	Cation-transporting ATPase%2C E1-E2 family	
6666666.754255.peg.3097	2'%2C3'-cyclic-nucleotide 2'-phosphodiesterase (EC 3.1.4.16)	KEGG_ENZYME:3.1.4.16
6666666.754255.peg.3098	transport protein	
6666666.754255.peg.3099	oxidoreductase of aldo/keto reductase family%2C subgroup 1	
6666666.754255.peg.3100	FIG00745177: hypothetical protein	
6666666.754255.peg.3101	Integral membrane protein	
6666666.754255.peg.3102	unknown	
6666666.754255.peg.3103	Undecaprenyl-diphosphatase (EC 3.6.1.27)	KEGG_ENZYME:3.6.1.27
6666666.754255.peg.3104	O-acetyl-ADP-ribose deacetylase	
6666666.754255.peg.3105	transcription regulator (putative)	
6666666.754255.peg.3106	FIG00742411: hypothetical protein	
6666666.754255.peg.3107	Extracellular protein	
6666666.754255.peg.3108	FIG00753200: hypothetical protein	
6666666.754255.peg.3109	cell surface protein precursor	
6666666.754255.peg.3110	extracellular protein	
6666666.754255.peg.3111	Mobile element protein	
6666666.754255.peg.3112	Predicted transcriptional regulators	
6666666.754255.peg.3113	Mobile element protein	
6666666.754255.peg.3114	Putative transcriptional regulator%2C MarR family	
6666666.754255.peg.3115	transcription regulator (putative)	
6666666.754255.peg.3116	Phosphoenolpyruvate carboxykinase [ATP] (EC 4.1.1.49)	KEGG_ENZYME:4.1.1.49
6666666.754255.peg.3117	hypothetical protein	
6666666.754255.peg.3118	Glutamate decarboxylase (EC 4.1.1.15)	KEGG_ENZYME:4.1.1.15
6666666.754255.peg.3119	Glutamate decarboxylase (EC 4.1.1.15)	KEGG_ENZYME:4.1.1.15
6666666.754255.peg.3120	hypothetical protein	
6666666.754255.peg.3121	FIG00743398: hypothetical protein	
6666666.754255.peg.3122	unknown	
6666666.754255.peg.3123	Mobile element protein	
6666666.754255.peg.3124	Mobile element protein	
6666666.754255.peg.3125	FIG00742340: hypothetical protein	
6666666.754255.peg.3126	FIG00751786: hypothetical protein	
6666666.754255.peg.3127	2-amino-3-carboxymuconate-6-semialdehyde decarboxylase (EC 4.1.1.45)	KEGG_ENZYME:4.1.1.45
6666666.754255.peg.3128	Predicted dye-decolorizing peroxidase (DyP)%2C encapsulated subgroup	
6666666.754255.peg.3129	Demethylmenaquinone methyltransferase (EC 2.1.1.163)	KEGG_ENZYME:2.1.1.163
6666666.754255.peg.3130	Protein ydcF	
6666666.754255.peg.3131	FIG00745430: hypothetical protein	
6666666.754255.peg.3132	Probable cadmium-transporting ATPase (EC 3.6.3.3)	KEGG_ENZYME:3.6.3.3
6666666.754255.peg.3133	Glycerol uptake facilitator protein	
6666666.754255.peg.3134	Thioredoxin	
6666666.754255.peg.3135	hypothetical protein%2C nickel resistance determinant	
6666666.754255.peg.3136	hypothetical protein	
6666666.754255.peg.3137	DNA protection during starvation protein	
6666666.754255.peg.3138	Copper chaperone	
6666666.754255.peg.3139	Transcriptional regulator%2C Crp/Fnr family	
6666666.754255.peg.3140	Neutral endopeptidase O (EC 3.4.24.-)	KEGG_ENZYME:3.4.24.-
6666666.754255.peg.3141	hypothetical protein	
6666666.754255.peg.3142	hypothetical protein	
6666666.754255.peg.3143	FIG00743617: hypothetical protein	
6666666.754255.peg.3144	NADH peroxidase Npx (EC 1.11.1.1)	KEGG_ENZYME:1.11.1.1
6666666.754255.peg.3145	extracellular protein	
6666666.754255.peg.3146	cell surface protein precursor	
6666666.754255.peg.3147	extracellular protein	
6666666.754255.peg.3148	extracellular protein	
6666666.754255.peg.3149	FIG00751289: hypothetical protein	
6666666.754255.peg.3150	Transcriptional regulator%2C TetR family	
6666666.754255.peg.3151	hypothetical protein	
6666666.754255.peg.3152	FIG00743242: hypothetical protein	
6666666.754255.peg.3153	conserved hypothetical protein	
6666666.754255.peg.3154	Aquaporin Z	
6666666.754255.peg.3155	ABC1 family protein	
6666666.754255.peg.3156	hypothetical protein	
6666666.754255.peg.3157	Na(+)-dependent branched-chain amino acid transporter	
6666666.754255.peg.3158	Lactose and galactose permease%2C GPH translocator family	
6666666.754255.peg.3159	beta-galactosidase (EC 3.2.1.23)	KEGG_ENZYME:3.2.1.23
6666666.754255.peg.3160	Galactose operon repressor%2C GalR-LacI family of transcriptional regulators	
6666666.754255.peg.3161	alpha-L-rhamnosidase (EC 3.2.1.40)	KEGG_ENZYME:3.2.1.40
6666666.754255.peg.3162	Predicted L-rhamnose permease RhaY	
6666666.754255.peg.3163	alpha-L-rhamnosidase (EC 3.2.1.40)	KEGG_ENZYME:3.2.1.40
6666666.754255.peg.3164	Predicted L-rhamnose permease RhaY	
6666666.754255.peg.3165	Transcriptional regulator of rhamnose utilization%2C AraC family	
6666666.754255.peg.3166	cell filamentation protein Fic	
6666666.754255.peg.3167	cell filamentation protein Fic	
6666666.754255.peg.3168	Predicted transcriptional regulators	
6666666.754255.peg.3169	Galactose operon repressor%2C GalR-LacI family of transcriptional regulators	
6666666.754255.peg.3170	Galactose-1-phosphate uridylyltransferase (EC 2.7.7.10)	KEGG_ENZYME:2.7.7.10
6666666.754255.peg.3171	UDP-glucose 4-epimerase (EC 5.1.3.2)	KEGG_ENZYME:5.1.3.2
6666666.754255.peg.3172	Galactokinase (EC 2.7.1.6)	KEGG_ENZYME:2.7.1.6
6666666.754255.peg.3173	beta-galactosidase large subunit (EC 3.2.1.23)	KEGG_ENZYME:3.2.1.23
6666666.754255.peg.3174	beta-galactosidase small subunit (EC 3.2.1.23)	KEGG_ENZYME:3.2.1.23
6666666.754255.peg.3175	Mobile element protein	
6666666.754255.peg.3176	Mobile element protein	
6666666.754255.peg.3177	alpha-galactosidase (EC 3.2.1.22)	KEGG_ENZYME:3.2.1.22
6666666.754255.peg.3178	Lactose and galactose permease%2C GPH translocator family	
6666666.754255.peg.3179	Aldose 1-epimerase (EC 5.1.3.3)	KEGG_ENZYME:5.1.3.3
6666666.754255.peg.3180	Galactose operon repressor%2C GalR-LacI family of transcriptional regulators	
6666666.754255.peg.3181	Oxidoreductase	
6666666.754255.peg.3182	Pyridoxamine 5'-phosphate oxidase (EC 1.4.3.5)	KEGG_ENZYME:1.4.3.5
6666666.754255.peg.3183	redox proteins related to the succinate dehydrogenases and fumarate reductases	
6666666.754255.peg.3184	FAD:protein FMN transferase (EC 2.7.1.180)	KEGG_ENZYME:2.7.1.180
6666666.754255.peg.3185	3-dehydroquinate dehydratase I (EC 4.2.1.10)	KEGG_ENZYME:4.2.1.10
6666666.754255.peg.3186	Inner membrane transport protein YdiM	
6666666.754255.peg.3187	Shikimate/quinate 5-dehydrogenase I beta (EC 1.1.1.282)	KEGG_ENZYME:1.1.1.282
6666666.754255.peg.3188	Transcriptional regulator%2C LysR family	
6666666.754255.peg.3189	Inner membrane transport protein YdiM	
6666666.754255.peg.3190	integral membrane protein (putative)	
6666666.754255.peg.3191	Tributyrin esterase	
6666666.754255.peg.3192	Predicted transcriptional regulator of N-Acetylglucosamine utilization%2C GntR family	
6666666.754255.peg.3193	PTS system%2C cellobiose-specific IIC component	
6666666.754255.peg.3194	N-acetylmuramic acid 6-phosphate etherase (EC 4.2.1.126)	KEGG_ENZYME:4.2.1.126
6666666.754255.peg.3195	Kinase similar to eukaryotic-like N-acetylglucosamine kinase	
6666666.754255.peg.3196	Outer surface protein of unknown function%2C cellobiose operon	
6666666.754255.peg.3197	Transcriptional regulator%2C AraC family	
6666666.754255.peg.3198	hypothetical protein	
6666666.754255.peg.3199	Urocanate reductase (EC 1.3.99.33)	KEGG_ENZYME:1.3.99.33
6666666.754255.peg.3200	Glycerate kinase (EC 2.7.1.31)	KEGG_ENZYME:2.7.1.31
6666666.754255.peg.3201	Mannosylglycerate hydrolase (EC 3.2.1.170)	KEGG_ENZYME:3.2.1.170
6666666.754255.peg.3202	PTS system%2C 2-O-alpha-mannosyl-D-glycerate-specific IIA component (EC 2.7.1.195) / PTS system%2C 2-O-alpha-mannosyl-D-glycerate-specific IIB component (EC 2.7.1.195) / PTS system%2C 2-O-alpha-mannosyl-D-glycerate-specific IIC component	KEGG_ENZYME:2.7.1.195,KEGG_ENZYME:2.7.1.195
6666666.754255.peg.3203	hypothetical protein	
6666666.754255.peg.3204	hypothetical protein	
6666666.754255.peg.3205	6-phospho-beta-glucosidase (EC 3.2.1.86)	KEGG_ENZYME:3.2.1.86
6666666.754255.peg.3206	PTS system%2C beta-glucoside-specific IIB component / PTS system%2C beta-glucoside-specific IIC component / PTS system%2C beta-glucoside-specific IIA component	
6666666.754255.peg.3207	Beta-glucoside bgl operon antiterminator%2C BglG family	
6666666.754255.peg.3208	6-phospho-beta-glucosidase (EC 3.2.1.86)	KEGG_ENZYME:3.2.1.86
6666666.754255.peg.3209	hypothetical protein	
6666666.754255.peg.3210	hypothetical protein	
6666666.754255.peg.3211	Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)	KEGG_ENZYME:6.2.1.3
6666666.754255.peg.3212	Electron transfer flavoprotein%2C alpha subunit	
6666666.754255.peg.3213	hypothetical protein	
6666666.754255.peg.3214	Butyryl-CoA dehydrogenase (EC 1.3.8.1)	KEGG_ENZYME:1.3.8.1
6666666.754255.peg.3215	L-carnitine dehydratase/bile acid-inducible protein F	
6666666.754255.peg.3216	Butyryl-CoA dehydrogenase (EC 1.3.8.1)	KEGG_ENZYME:1.3.8.1
6666666.754255.peg.3217	hypothetical protein	
6666666.754255.peg.3218	Cys regulon transcriptional activator CysB	
6666666.754255.peg.3219	6-phospho-beta-glucosidase (EC 3.2.1.86)	KEGG_ENZYME:3.2.1.86
6666666.754255.peg.3220	PTS system%2C beta-glucoside-specific IIB component / PTS system%2C beta-glucoside-specific IIC component / PTS system%2C beta-glucoside-specific IIA component	
6666666.754255.peg.3221	Beta-glucoside bgl operon antiterminator%2C BglG family	
6666666.754255.peg.3222	Maltose phosphorylase (EC 2.4.1.8) / Trehalose phosphorylase (EC 2.4.1.64)	KEGG_ENZYME:2.4.1.8,KEGG_ENZYME:2.4.1.64
6666666.754255.peg.3223	Transcriptional regulator%2C LacI family	
6666666.754255.peg.3224	Uncharacterized MFS-type transporter	
6666666.754255.peg.3225	Alpha-glucosidase (EC 3.2.1.20)	KEGG_ENZYME:3.2.1.20
6666666.754255.peg.3226	Mobile element protein	
6666666.754255.peg.3227	Mobile element protein	
6666666.754255.peg.3228	N-acetylmannosamine-6-phosphate 2-epimerase (EC 5.1.3.9)	KEGG_ENZYME:5.1.3.9
6666666.754255.peg.3229	Ferredoxin reductase	
6666666.754255.peg.3230	FIG00742396: hypothetical protein	
6666666.754255.peg.3231	Substrate-specific component FolT of folate ECF transporter	
6666666.754255.peg.3232	Mobile element protein	
6666666.754255.peg.3233	Mobile element protein	
6666666.754255.peg.3234	Substrate-specific component FolT of folate ECF transporter	
6666666.754255.peg.3235	FIG00751684: hypothetical protein	
6666666.754255.peg.3236	FIG00746834: hypothetical protein	
6666666.754255.peg.3237	Catalase KatE (EC 1.11.1.6)	KEGG_ENZYME:1.11.1.6
6666666.754255.peg.3238	negative regulator of proteolysis	
6666666.754255.peg.3239	response regulator	
6666666.754255.peg.3240	Histidine kinase of the competence regulon ComD	
6666666.754255.peg.3241	accesory gene regulator protein D%2C peptide pheromone precursor	
6666666.754255.peg.3242	Accessory gene regulator protein B	
6666666.754255.peg.3243	ClpE-like protein	
6666666.754255.peg.3244	hypothetical protein	
6666666.754255.peg.3245	Mobile element protein	
6666666.754255.peg.3246	Mobile element protein	
6666666.754255.peg.3247	Putative ribose uptake protein RbsU%2C GRP transporter family (TC 2.A.7.5)	
6666666.754255.peg.3248	D-ribose pyranase (EC 5.4.99.62)	KEGG_ENZYME:5.4.99.62
6666666.754255.peg.3249	Ribokinase (EC 2.7.1.15)	KEGG_ENZYME:2.7.1.15
6666666.754255.peg.3250	Ribose operon repressor	
6666666.754255.peg.3251	Acetaldehyde dehydrogenase (EC 1.2.1.10) / Alcohol dehydrogenase (EC 1.1.1.1)	KEGG_ENZYME:1.2.1.10,KEGG_ENZYME:1.1.1.1
6666666.754255.peg.3252	nucleotide-binding protein%2C UspA family	
6666666.754255.peg.3253	Negative regulator of phenolic acid metabolism PadR	
6666666.754255.peg.3254	Phenolic acid decarboxylase (EC 4.1.1.-)	KEGG_ENZYME:4.1.1.-
6666666.754255.peg.3255	2-oxo-hept-3-ene-1%2C7-dioate hydratase	
6666666.754255.peg.3256	Protein export cytoplasm protein SecA ATPase RNA helicase (TC 3.A.5.1.1)	
6666666.754255.peg.3257	FIG005590: DegV family protein	
6666666.754255.peg.3258	Predicted transcriptional regulators	
6666666.754255.peg.3259	Aminopeptidase C (EC 3.4.22.40)	KEGG_ENZYME:3.4.22.40
6666666.754255.peg.3260	FIG00745864: hypothetical protein	
6666666.754255.peg.3261	Signal peptidase I (EC 3.4.21.89)	KEGG_ENZYME:3.4.21.89
6666666.754255.peg.3262	extracellular protein	
6666666.754255.peg.3263	cell surface protein precursor	
6666666.754255.peg.3264	cell surface protein precursor	
6666666.754255.peg.3265	extracellular protein	
6666666.754255.peg.3266	tRNA-5-carboxymethylaminomethyl-2-thiouridine(34) synthesis protein MnmG	
6666666.754255.peg.3267	tRNA-5-carboxymethylaminomethyl-2-thiouridine(34) synthesis protein MnmE	
6666666.754255.peg.3268	RNA-binding protein Jag	
6666666.754255.peg.3269	Imidazolonepropionase related amidohydrolase	
6666666.754255.peg.3270	Oligopeptide ABC transporter%2C substrate-binding protein OppA (TC 3.A.1.5.1)	
6666666.754255.peg.3271	Inner membrane protein translocase and chaperone YidC%2C short form OxaI-like	
6666666.754255.peg.3272	Ribonuclease P protein component (EC 3.1.26.5)	KEGG_ENZYME:3.1.26.5
6666666.754255.peg.3273	LSU ribosomal protein L34p	
6666666.754255.peg.3274	Mobile element protein	
6666666.754255.peg.3275	hypothetical protein	
6666666.754255.peg.3276	hypothetical protein	
6666666.754255.peg.3277	Mobile element protein	
6666666.754255.peg.3278	Mobile element protein	
6666666.754255.peg.3279	hypothetical protein	
6666666.754255.peg.3280	hypothetical protein	
6666666.754255.peg.3281	hypothetical protein	
6666666.754255.peg.3282	hypothetical protein	
6666666.754255.peg.3283	hypothetical protein	
6666666.754255.peg.3284	hypothetical protein	
6666666.754255.peg.3285	hypothetical protein	
6666666.754255.peg.3286	hypothetical protein	
6666666.754255.peg.3287	hypothetical protein	
6666666.754255.peg.3288	hypothetical protein	
6666666.754255.peg.3289	PemK family protein	
6666666.754255.peg.3290	hypothetical protein	
6666666.754255.peg.3291	Divinyl protochlorophyllide a 8-vinyl-reductase (EC 1.3.1.75)	KEGG_ENZYME:1.3.1.75
6666666.754255.peg.3292	hypothetical protein	
6666666.754255.peg.3293	hypothetical protein	
6666666.754255.peg.3294	hypothetical protein	
6666666.754255.peg.3295	Mobile element protein	
6666666.754255.peg.3296	Mobile element protein	
6666666.754255.peg.3297	Mobile element protein	
6666666.754255.peg.3298	Mobile element protein	
6666666.754255.peg.3299	hypothetical protein	
6666666.754255.peg.3300	hypothetical protein	
6666666.754255.peg.3301	hypothetical protein	
6666666.754255.peg.3302	hypothetical protein	
6666666.754255.peg.3303	Mobile element protein	
6666666.754255.peg.3304	Mobile element protein	
6666666.754255.peg.3305	hypothetical protein	
6666666.754255.peg.3306	Mobile element protein	
6666666.754255.peg.3307	PTS system%2C fructose-specific IIA component (EC 2.7.1.202) / PTS system%2C fructose-specific IIB component (EC 2.7.1.202) / PTS system%2C fructose-specific IIC component	KEGG_ENZYME:2.7.1.202,KEGG_ENZYME:2.7.1.202
6666666.754255.peg.3308	PTS system%2C fructose-specific IIA component (EC 2.7.1.202) / PTS system%2C fructose-specific IIB component (EC 2.7.1.202) / PTS system%2C fructose-specific IIC component	KEGG_ENZYME:2.7.1.202,KEGG_ENZYME:2.7.1.202
6666666.754255.peg.3309	Sialic acid utilization regulator%2C RpiR family	
6666666.754255.peg.3310	Sialic acid utilization regulator%2C RpiR family	
6666666.754255.peg.3311	hypothetical protein	
6666666.754255.peg.3312	PTS system%2C trehalose-specific IIB component (EC 2.7.1.201) / PTS system%2C trehalose-specific IIC component	KEGG_ENZYME:2.7.1.201
6666666.754255.peg.3313	Trehalose-6-phosphate hydrolase (EC 3.2.1.93)	KEGG_ENZYME:3.2.1.93
6666666.754255.peg.3314	Trehalose operon transcriptional repressor	
6666666.754255.peg.3315	Mobile element protein	
6666666.754255.peg.3316	Transposase%2C IS4 family	
6666666.754255.peg.3317	Transposase%2C IS4 family	
6666666.754255.peg.3318	Mobile element protein	
6666666.754255.peg.3319	Mobile element protein	
6666666.754255.peg.3320	hypothetical protein	
6666666.754255.peg.3321	hypothetical protein	
6666666.754255.peg.3322	hypothetical protein	
6666666.754255.peg.3323	Probable glutamate/gamma-aminobutyrate antiporter	
6666666.754255.peg.3324	ABC transporter%2C ATP-binding protein	
6666666.754255.peg.3325	Mobile element protein	
6666666.754255.peg.3326	Mobile element protein	
6666666.754255.peg.3327	conserved hypothetical protein	
6666666.754255.peg.3328	hypothetical protein	
6666666.754255.peg.3329	hypothetical protein	
6666666.754255.peg.3330	hypothetical protein	
6666666.754255.peg.3331	Chromosome (plasmid) partitioning protein ParA	
6666666.754255.peg.3332	hypothetical protein	
6666666.754255.peg.3333	hypothetical protein	
6666666.754255.peg.3334	Mobile element protein	
6666666.754255.peg.3335	Mobile element protein	
6666666.754255.peg.3336	hypothetical protein	
6666666.754255.peg.3337	hypothetical protein	
6666666.754255.peg.3338	Mobile element protein	
6666666.754255.peg.3339	FIG00752425: hypothetical protein	
6666666.754255.peg.3340	hypothetical protein	
6666666.754255.peg.3341	hypothetical protein	
6666666.754255.peg.3342	integral membrane protein	
6666666.754255.peg.3343	hypothetical protein	
6666666.754255.peg.3344	hypothetical protein	
